"site" "habitat" "elev" "elev_s" "effort" "log_effort" "Y.1" "Y.2" "Y.3" "Y.4" "Y.5" "Y.6" "Y.7" "Y.8" "Y.9" "Y.10" "Y.11" "Y.12"
"45" 45 "wetland" 343.019106108585 -0.755154187919243 23 -0.798768126291804 1 0 1 0 0 0 0 1 0 0 0 0
"46" 46 "grassland" 166.411612682373 -1.67747727333116 24 -0.669494556872833 0 0 0 0 0 0 0 0 0 0 0 0
"47" 47 "wetland" 423.954695942448 -0.332472446125597 53 1.73690517780656 0 1 1 0 1 1 1 1 0 1 1 0
"48" 48 "forest" 683.799321812153 1.02455206291644 29 -0.0946775828155682 0 0 0 0 0 0 0 0 0 0 0 0
"49" 49 "grassland" 384.930607478322 -0.536273638132538 31 0.107895493765058 0 0 0 0 0 0 0 0 0 0 0 0
"50" 50 "forest" 621.592864445007 0.699682202763071 33 0.297799228061014 1 1 0 0 0 1 1 0 1 0 1 0
"51" 51 "grassland" 176.423458342167 -1.62519095070426 46 1.30664592379665 0 0 0 0 0 0 0 0 0 0 0 0
"52" 52 "grassland" 488.887606895092 0.00663617046117431 25 -0.54549895647791 0 1 1 0 1 0 0 0 0 0 0 0
"53" 53 "wetland" 603.881440788692 0.607185250358532 21 -1.07509221065314 0 0 0 0 0 0 0 0 0 0 0 0
"54" 54 "grassland" 560.230672433343 0.379221472780048 54 1.79368197871357 0 0 0 0 0 0 0 0 0 0 0 0
"55" 55 "forest" 521.135238829789 0.17504768464001 26 -0.42636720085178 0 0 0 0 1 0 0 1 0 0 0 0
"56" 56 "grassland" 371.858798338925 -0.604540454582212 23 -0.798768126291804 0 0 0 0 1 0 0 0 0 0 0 0
"57" 57 "grassland" 330.059130793284 -0.822836958269331 19 -1.37909275445841 0 0 0 0 0 0 0 0 0 0 0 0
"58" 58 "wetland" 295.174241879017 -1.00502140442988 19 -1.37909275445841 0 0 0 0 0 0 0 0 0 0 0 0
"59" 59 "grassland" 523.529319420025 0.187550641076761 25 -0.54549895647791 0 0 0 0 1 0 0 0 0 0 1 0
"60" 60 "forest" 310.50507716304 -0.924956946083392 37 0.645317284255927 0 0 1 1 1 1 1 1 0 1 0 0
"61" 61 "grassland" 401.888511259866 -0.447711902531849 44 1.17162501035627 0 1 0 1 1 1 1 0 0 1 0 1
"62" 62 "wetland" 448.781561560351 -0.202815482802133 38 0.726321295630041 1 1 1 1 1 0 1 0 0 0 1 1
"63" 63 "grassland" 868.772401046441 1.99056396789142 26 -0.42636720085178 0 0 0 0 0 0 0 0 0 0 0 0
"64" 64 "wetland" 369.610019660908 -0.616284579638736 31 0.107895493765058 0 0 0 0 0 0 0 0 0 0 0 0
"65" 65 "forest" 547.077314456971 0.310528771938546 23 -0.798768126291804 0 0 0 0 0 0 0 0 0 0 0 0
"66" 66 "wetland" 515.592169912742 0.146099306929427 23 -0.798768126291804 0 0 0 0 0 0 0 0 0 0 0 0
"67" 67 "forest" 307.628673173974 -0.939978810391739 41 0.957126239582628 1 0 1 1 0 1 1 1 1 1 1 1
"68" 68 "forest" 485.73838277528 -0.00981048222886021 21 -1.07509221065314 0 0 0 0 0 0 0 0 0 0 0 0
"69" 69 "wetland" 788.91017168467 1.57348779312765 59 2.06266030276176 1 1 1 1 0 0 1 0 0 1 1 1
"70" 70 "forest" 590.300810615843 0.536261143573143 29 -0.0946775828155682 0 0 0 1 1 0 0 0 0 0 0 0
"71" 71 "forest" 508.246584398588 0.107737383750882 32 0.204331225422422 1 0 1 1 1 1 1 1 0 0 0 0
"72" 72 "wetland" 415.500633532075 -0.376623329960305 23 -0.798768126291804 0 0 0 0 0 0 0 0 0 0 0 0
"73" 73 "wetland" 89.3505556918969 -2.07992447684268 25 -0.54549895647791 0 0 0 0 1 0 0 0 1 0 1 0
"74" 74 "grassland" 726.267442682835 1.24633952795092 19 -1.37909275445841 0 0 0 0 0 0 0 0 0 0 0 0
"75" 75 "forest" 207.871985815036 -1.46095271637048 28 -0.201266428357884 0 0 0 0 0 0 0 0 0 0 0 0
"76" 76 "forest" 647.989502175467 0.837537216068215 35 0.476525505736178 0 0 1 1 1 1 0 0 1 1 0 1
"77" 77 "grassland" 881.820713843497 2.05870807596364 34 0.388476720251543 0 0 0 0 0 0 0 0 0 0 0 0
"78" 78 "forest" 211.22136780564 -1.44346075002258 23 -0.798768126291804 1 0 0 1 1 0 0 1 0 0 0 0
"79" 79 "grassland" 640.356867074942 0.79767619194536 23 -0.798768126291804 0 0 0 0 0 0 0 0 0 0 0 0
"80" 80 "grassland" 447.560502119506 -0.209192399710369 25 -0.54549895647791 0 0 0 0 0 0 0 0 0 0 0 0
"81" 81 "forest" 185.571168170902 -1.57741753073204 51 1.62006498804474 1 0 1 1 1 1 1 1 1 1 0 1
"82" 82 "wetland" 197.06646924365 -1.51738394242009 20 -1.22329089057197 0 0 0 0 0 0 0 0 0 0 0 0
"83" 83 "wetland" 179.692765285081 -1.60811717196335 28 -0.201266428357884 0 0 0 1 1 0 1 1 0 0 0 0
"84" 84 "grassland" 393.818695565939 -0.48985607866579 58 2.01073646727289 0 1 1 0 1 1 1 1 1 1 0 1
"85" 85 "forest" 207.64888300082 -1.46211785875475 29 -0.0946775828155682 1 1 0 0 0 1 0 0 0 0 0 0
"86" 86 "grassland" 637.583354595165 0.783191672981023 19 -1.37909275445841 0 0 0 0 0 0 0 0 0 0 0 0
"87" 87 "forest" 920.021788105134 2.25821112079772 24 -0.669494556872833 0 0 0 0 0 0 0 0 0 0 0 0
"88" 88 "grassland" 242.593904792964 -1.27961937189081 36 0.562093710920367 0 0 1 0 0 1 0 0 1 1 0 1
"89" 89 "wetland" 657.547769495036 0.887454750337846 26 -0.42636720085178 0 0 0 0 0 0 0 0 0 0 0 0
"90" 90 "wetland" 653.808448200182 0.867926347057173 25 -0.54549895647791 0 0 0 0 0 0 0 1 0 0 0 0
"91" 91 "forest" 566.440515790023 0.411652043949732 27 -0.311732071374887 0 0 0 0 0 1 0 0 1 0 1 0
"92" 92 "wetland" 298.324678344598 -0.988568420329619 31 0.107895493765058 0 0 0 0 0 0 0 0 0 0 0 0
"93" 93 "grassland" 476.109478673868 -0.0600969132724009 52 1.67904684923668 0 0 1 1 1 0 1 1 0 1 1 0
"94" 94 "forest" 443.920932965951 -0.228199852826621 29 -0.0946775828155682 0 0 0 0 0 0 0 0 0 0 0 0
"95" 95 "forest" 612.597906644096 0.652706521996999 44 1.17162501035627 0 0 0 0 0 0 0 0 0 0 0 0
"96" 96 "wetland" 425.512248779234 -0.324338210650944 37 0.645317284255927 0 0 0 1 0 1 0 1 0 1 0 1
"97" 97 "forest" 695.394677337124 1.08510818019528 29 -0.0946775828155682 0 0 0 0 0 0 0 0 0 0 0 0
"98" 98 "grassland" 425.083828446597 -0.326575612673842 18 -1.54332033916809 1 0 0 0 0 0 0 0 0 0 0 0
"99" 99 "wetland" 710.542293115866 1.16421578458196 25 -0.54549895647791 0 0 1 0 0 0 0 0 0 0 0 0
"100" 100 "wetland" 290.164598666787 -1.03118399523891 25 -0.54549895647791 0 0 1 0 0 0 0 1 0 0 1 0
